#,Ticker,Sectors,MarketCap,CapitalSize,Price,OpenWeek,HighWeek,LowWeek,CloseWeek,Position,EPS,PE,Weighting
126,HPG,Materials,34557873196000,Mid,41000,40400,42050,39400,41000,-4.19,6190,6.6,3.9
76,DPM,Materials,9824140000000,Mid,25100,24300,25650,24200,25100,1.05,3318,7.6,3.7
87,DXG,Real Estate,2028659761000,Small,17300,17000,17650,15700,17300,10.42,1996,8.7,3.5
147,KBC,Real Estate,6874026363150,Small,14450,14300,14750,14150,14450,0.01,1668,8.7,3.5
296,VHC,Consumer Staples,4805005036000,Small,52000,49300,52000,46000,52000,2.04,5524,9.4,3.4
79,DRC,Consumer Discretionary,3848880402000,Small,32400,31500,32500,31000,32400,2.87,3432,9.4,3.3
99,FPT,Information Technology,20972828124600,Mid,45650,46000,46900,45150,45650,0.59,4334,10.5,3.2
97,FLC,Real Estate,4402467285300,Small,6900,7650,8480,6840,6900,4.29,1448,4.8,3.1
44,CII,Industrials,8203068718000,Small,34000,34453,36914,33500,34000,3.74,2906,11.7,3.1
115,HBC,Industrials,4788486576900,Small,50700,52000,53400,45100,50700,15.5,3751,13.5,3
184,NT2,Ultilities,8446574259850,Small,29650,31800,31800,29400,29650,-4.49,4599,6.4,2.9
309,VNS,Industrials,2127385669200,Small,31350,30300,31500,29450,31350,-0.21,4608,6.8,2.8
198,PHR,Consumer Discretionary,2487780000000,Small,30600,29600,30800,28500,30600,-0.09,3278,9.3,2.4
315,VSC,Industrials,2660537092800,Small,58400,60200,60200,57300,58400,-2.83,5190,11.3,2.2
57,CTD,Industrials,15596825494400,Mid,202600,203000,206900,197900,202600,0.87,15766,12.9,2
206,PTB,Financials,2995993649700,Small,138700,131000,140000,131000,138700,2.76,10680,13,2
129,HSG,Materials,9296333911700,Small,47300,48200,48200,46300,47300,-2.16,7637,6.2,2
